OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
970,GO-20181191880,2018.06.30,2018,June,30,Saturday,181,D52,Shooting,78,Kensington-Chinatown,78,Kensington-Chinatown (78),-79.39369866,43.64934497
971,GO-20181191880,2018.06.30,2018,June,30,Saturday,181,D52,Shooting,78,Kensington-Chinatown,78,Kensington-Chinatown (78),-79.39369866,43.64934497
972,GO-20181198918,2018.07.01,2018,July,1,Sunday,182,D14,Shooting,78,Kensington-Chinatown,78,Kensington-Chinatown (78),-79.40233235,43.65522887
973,GO-20181194072,2018.07.01,2018,July,1,Sunday,182,D54,Stabbing,65,Greenwood-Coxwell,65,Greenwood-Coxwell (65),-79.33237918,43.68147804
974,GO-20181221507,2018.07.05,2018,July,5,Thursday,186,D41,Other,120,Clairlea-Birchmount,120,Clairlea-Birchmount (120),-79.28855913,43.70437453
975,GO-20181240749,2018.07.08,2018,July,8,Sunday,189,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.51522778,43.76814882
976,GO-20181245963,2018.07.09,2018,July,9,Monday,190,D31,Shooting,24,Black Creek,24,Black Creek (24),-79.51622058,43.77012645
977,GO-20181329654,2018.07.21,2018,July,21,Saturday,202,D55,Stabbing,70,South Riverdale,70,South Riverdale (70),-79.34770514,43.65685048
978,GO-20181341286,2018.07.23,2018,July,23,Monday,204,D54,Shooting,67,Playter Estates-Danforth,67,Playter Estates-Danforth (67),-79.35147435,43.67804611
979,GO-20181341286,2018.07.23,2018,July,23,Monday,204,D54,Shooting,67,Playter Estates-Danforth,67,Playter Estates-Danforth (67),-79.35147435,43.67804611
980,GO-20181358001,2018.07.25,2018,July,25,Wednesday,206,D31,Shooting,21,Humber Summit,21,Humber Summit (21),-79.56886444,43.75470343
981,GO-20181494077,2018.08.13,2018,August,13,Monday,225,D22,Other,18,New Toronto,18,New Toronto (18),-79.50889593,43.60153166
982,GO-20181508181,2018.08.15,2018,August,15,Wednesday,227,D23,Shooting,2,Mount Olive-Silverstone-Jamestown,2,Mount Olive-Silverstone-Jamestown (2),-79.58904119,43.73438057
983,GO-20181526723,2018.08.18,2018,August,18,Saturday,230,D23,Stabbing,6,Kingsview Village-The Westway,6,Kingsview Village-The Westway (6),-79.55446079,43.69378502
984,GO-20181527703,2018.08.18,2018,August,18,Saturday,230,D22,Stabbing,159,Etobicoke City Centre,14,Islington-City Centre West (14),-79.55689984,43.61011982
985,GO-20181527703,2018.08.18,2018,August,18,Saturday,230,D22,Stabbing,159,Etobicoke City Centre,14,Islington-City Centre West (14),-79.55689984,43.61011982
986,GO-20181528994,2018.08.19,2018,August,19,Sunday,231,D51,Shooting,73,Moss Park,73,Moss Park (73),-79.36502244,43.65244309
987,GO-20181548479,2018.08.22,2018,August,22,Wednesday,234,D54,Shooting,66,Danforth,66,Danforth (66),-79.34072784,43.68011784
988,GO-20181549969,2018.08.22,2018,August,22,Wednesday,234,D12,Shooting,115,Mount Dennis,115,Mount Dennis (115),-79.50088739,43.69129537
